data,utm campaign,utm medium,utm content,spend,impressions,actions_link_click,actions_landing_page_view
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | LEADS GERAL,AD_001_ ANUNCIO PETRO 01,18.86,1702.0,42.0,35.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,0.2,25.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,16.05,1855.0,24.0,16.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,203.63,17303.0,304.0,191.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,0.36,51.0,1.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_002_ANUNCIO PETRO 02,6.72,826.0,13.0,10.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_001_ANUNCIO PETRO 01,116.5,10191.0,171.0,118.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,0.13,4.0,1.0,1.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,186.25,17230.0,260.0,166.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,23.69,3323.0,36.0,25.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,0.09,11.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_001_ANUNCIO PETRO 01,78.59,6682.0,132.0,92.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_002_ANUNCIO PETRO 02,4.84,691.0,8.0,4.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,0.12,18.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,0.07,7.0,1.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 14D,AD_001_ ANUNCIO PETRO 01,0.59,38.0,1.0,1.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 14D,AD_003_ ANUNCIO PETRO 03,0.14,10.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 14D,AD_002_ ANUNCIO PETRO 02,0.91,93.0,1.0,1.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 30D,AD_001_ ANUNCIO PETRO 01,0.19,20.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 30D,AD_003_ ANUNCIO PETRO 03,0.0,1.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 30D,AD_002_ ANUNCIO PETRO 02,0.01,1.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | LEADS GERAL,AD_003_ ANUNCIO PETRO 03,1.71,89.0,2.0,2.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | LEADS GERAL,AD_002_ ANUNCIO PETRO 02,3.98,322.0,17.0,15.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | LEADS GERAL,AD_001_ ANUNCIO PETRO 01,10.17,874.0,26.0,17.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | ENVOLVIMENTO | 30D,ADS_002_ANUNCIO PETRO 02,18.95,1608.0,27.0,13.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | ENVOLVIMENTO | 30D,ADS_001_ANUNCIO PETRO 01,119.06,10285.0,181.0,118.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | SALVOU + ENVIOU MSG | 365D,ADS_002_ANUNCIO PETRO 02,0.37,29.0,0.0,0.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | SALVOU + ENVIOU MSG | 365D,ADS_003_ANUNCIO PETRO 03,0.18,14.0,0.0,0.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | SALVOU + ENVIOU MSG | 365D,ADS_001_ANUNCIO PETRO 01,1.55,119.0,2.0,2.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | ENVOLVIMENTO | 90D,ADS_003_ANUNCIO PETRO 03,15.92,1178.0,26.0,18.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | ENVOLVIMENTO | 90D,ADS_002_ANUNCIO PETRO 02,11.3,1168.0,12.0,10.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | ENVOLVIMENTO | 90D,ADS_001_ANUNCIO PETRO 01,151.92,15886.0,222.0,135.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | ENVOLVIMENTO | 14D,ADS_001_ANUNCIO PETRO 01,48.99,3448.0,85.0,56.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | QUENTE | ALL | BR | 03-04-2025 | ENVOLVIMENTO,00 | AUTO | ENVOLVIMENTO | 14D,ADS_002_ANUNCIO PETRO 02,7.52,701.0,10.0,4.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 03-04-25 | Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,54.99,2283.0,15.0,8.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 03-04-25 | Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_003_ANUNCIO PETRO 03,2.09,88.0,1.0,1.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 03-04-25 | Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_002_ANUNCIO PETRO 02,5.3,212.0,1.0,0.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 02,ADS_002_ANUNCIO PETRO 02,10.69,965.0,22.0,18.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 01,ADS_001_ANUNCIO PETRO 01,10.54,929.0,16.0,11.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 03,ADS_003_ANUNCIO PETRO 03,10.69,801.0,6.0,4.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 04,ADS_004_ANUNCIO PETRO 04,11.12,727.0,16.0,12.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 06,ADS_006_ANUNCIO PETRO 06,15.15,1741.0,57.0,33.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 09,ADS_009_ANUNCIO PETRO 09,11.59,733.0,14.0,12.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 08,ADS_008_ANUNCIO PETRO 08,11.95,1247.0,35.0,25.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 07,ADS_007_ANUNCIO PETRO 07,10.61,1072.0,33.0,24.0
2025-04-03,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 03-04-2025 | Teste de criativos,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 05,ADS_005_ANUNCIO PETRO 05,10.82,881.0,30.0,16.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,0.25,31.0,1.0,1.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,3.03,388.0,5.0,3.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,321.28,32166.0,458.0,289.0
2025-04-03,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,1.15,126.0,2.0,2.0
